nome;prop;munic1;uf1;munic2;uf2;rio;potkw;atualiz;iniciop;potfisc;idemp;lat;long;estag
Eleutério (rio Euletério);;Itapira;SP;;;Rio Eleutério;1500;30/10/2023;0;0;0;-22,3;-46,76666667;Eixo Disponível
Salto Pinhal;CPFL Geraçã de Energia S.A.;Espírito Santo do Pinhal;SP;;;Rio Mogi-Guaçu;580;30/10/2023;0;580;28245;-22,27638192;-46,76240695;Extinta
Laranja Doce;Quatiara Energia S.A.;Martinópolis;SP;;;Ribeirão Laranja Doce;720;30/10/2023;01/01/1929;720;1310;-22,246944;-51,170833;Operação
Lobo;Aratu Geração S.A.;Itirapina;SP;Brotas;SP;Ribeirão do Lobo;1272;30/10/2023;01/01/1936;1272;1335;-22,16819695;-47,90293914;Cancelado
Santana;Jayaditya Empreendimentos e Participações Ltda.;São Carlos;SP;Brotas;SP;Rio Jacaré-guaçu;4320;30/10/2023;25/01/1951;4320;27415;-22,07401232;-48,04460084;Operação
Micro Central Hidrelétrica Major;"Joaquim Salles Leite Filho
CONSTRUTORA DE OBRAS E PROJETOS LTDA.";Ibaté;SP;São Carlos;SP;Rio do Monjolinho;192;30/10/2023;01/01/1985;192;28489;-22,055833;-48,088333;Operação
Monjolinho;Mohini Empreendimentos e Participações Ltda.;São Carlos;SP;;;Rio do Monjolinho;600;30/10/2023;25/01/1909;600;1486;-22,02279568;-47,91457804;Operação
Quatiara;Quatiara Energia S.A.;Rancharia;SP;Parapuã;SP;Rio do Peixe;2600;30/10/2023;01/01/1939;2600;2164;-21,95167443;-50,92912507;Operação
Nossa Senhora das Graças;MDS - Construções, Indústria e Comércio Ltda.;São João da Boa Vista;SP;Vargem Grande do Sul;SP;Rio Jaguari-mirim;2900;30/10/2023;0;0;1547;-21,93277777;-46,93027777;Eixo Disponibilizado
Retirão;SBE - Sociedade Brasileira de Energia Renovável Ltda.;Vargem Grande do Sul;SP;São João da Boa Vista;SP;Rio Jaguari-mirim;4000;30/10/2023;0;0;44830;-21,91694444;-46,92638889;Eixo Disponibilizado
Socorro;Mohini Empreendimentos e Participações Ltda.;Araraquara;SP;;;Rio Chibarro;999;30/10/2023;20/01/1909;999;2762;-21,88810556;-48,14740833;Operação
Chibarro;Chimay Empreendimentos e Participações Ltda;Araraquara;SP;;;Ribeirão Chibarro;2592;30/10/2023;20/01/1912;2592;768;-21,88795691;-48,14748976;Operação
Capão Preto;Chimay Empreendimentos e Participações Ltda;Descalvado;SP;São Carlos;SP;Rio do Quilombo;4293;30/10/2023;31/05/2008;4293;27107;-21,88173889;-47,80202778;Operação
Gavião Peixoto;Chimay Empreendimentos e Participações Ltda;Gavião Peixoto;SP;Boa Esperança do Sul;SP;Rio Jacaré-Açú;4860;30/10/2023;01/01/1913;4860;1025;-21,84694444;-48,48944444;Operação
Itaquerê;Usina Santa Fé S.A.;Nova Europa;SP;Tabatinga;SP;Rio Itaquerê;409,6;30/10/2023;01/01/1929;409,6;29662;-21,81215726;-48,63715686;Operação
Salto Grande;Comercial Lupo S.A.;Araraquara;SP;;;Ribeirão das Cruzes;684;30/10/2023;10/12/1951;684;31230;-21,80376896;-48,21949629;Operação
São Valentim;Cobuccio Energia Ltda.;Santa Rita do Passa Quatro;SP;;;Rio Claro;1450;30/10/2023;05/12/2009;1450;2707;-21,74449342;-47,41134942;Operação
Santa Alice;CPFL Centrais Geradoras Ltda.;São José do Rio Pardo;SP;;;Rio Fartura;624;30/10/2023;31/12/1907;624;2693;-21,60058735;-46,90156449;Cancelado
Águas Claras;Usina Hidrelétrica Águas Claras Ltda.;São Simão;SP;Santa Rosa de Viterbo;SP;Ribeirão Águas Claras;1000;30/10/2023;20/12/2008;1000;29695;-21,43888889;-47,41416667;Cancelado
São Sebastião;CPFL Centrais Geradoras Ltda.;Arceburgo;MG;Mococa;SP;Rio Canoas;680;30/10/2023;31/12/1925;680;28023;-21,42190571;-46,9172288;Operação
Jph Participações;JPH Empreendimentos e Participações Ltda.;Cajuru;SP;;;Rio Cubatão;800;30/10/2023;30/11/2017;800;40535;-21,3330734;-47,29832738;Operação
Cajuru;Lucia de Sampaio Moreira Freitas;Cajuru;SP;;;Rio Cubatão;606,4;30/10/2023;01/02/1924;606,4;28719;-21,33254154;-47,29813237;Operação
Santa Terezinha (Cubatão);Cunali Energia Ltda.;Cássia dos Coqueiros;SP;;;Rio Cubatão;493;30/10/2023;01/06/2008;493;30188;-21,31583333;-47,19916667;Operação
Central Macaúbas;Décio Sandoval de Moraes;Batatais;SP;;;Ribeirão dos Batatais;115;30/10/2023;01/02/1938;115;31971;-20,785;-47,53305556;Operação
Palmeiras;Carlos Olyntho Junqueira Franco;Jaborandi;SP;Terra Roxa;SP;Ribeirão das Palmeiras;230;30/10/2023;26/03/1931;230;29983;-20,74416667;-48,4125;Operação
Buritis;Chimay Empreendimentos e Participações Ltda.;Buritizal;SP;;;Ribeirão da Bandeira;800;30/10/2023;15/01/1922;800;336;-20,21472222;-47,70555556;Operação
